% Parse By Nerea.P and Jdihadi.A 
%
@RELATION mysteriousx4

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2}

@DATA
624474,837604,0
673412,735362,0
647442,677000,0
532283,741384,0
646529,742844,0
647535,755101,0
644131,777721,0
521368,736923,0
688940,798967,0
592666,805244,0
645068,716248,0
666740,707391,0
662064,644958,0
630628,689662,0
623268,774834,0
617896,766560,0
560260,629298,0
595728,703618,0
594177,665266,0
544862,802997,0
512102,686369,0
742244,626859,0
709853,684304,0
662854,764737,0
612693,778368,0
656011,735274,0
644769,750956,0
688852,804551,0
714271,804144,0
695472,794296,0
746441,829147,0
632975,756806,0
679779,842107,0
609763,693428,0
665375,784377,0
783661,772895,0
651521,719802,0
730159,761390,0
708303,692097,0
657201,735978,0
657676,809387,0
636976,735247,0
645990,751430,0
634257,761114,0
638687,658319,0
651406,751827,0
747619,624316,0
623835,729538,0
660357,757474,0
588712,804321,0
568583,699863,0
486170,676920,0
602196,605901,0
642237,745490,0
606020,713186,0
728084,727247,0
554017,771267,0
603318,762900,0
562936,690153,0
617156,717859,0
661356,736420,0
654515,734666,0
637992,730773,0
709788,708315,0
591399,697019,0
683055,858799,0
666771,711680,0
675192,674079,0
760637,769855,0
527197,674487,0
635082,737943,0
723320,815272,0
600764,726223,0
661916,744296,0
671573,696285,0
627760,882730,0
611273,753851,0
581576,715320,0
666541,754171,0
701026,791071,0
667266,731121,0
600277,691215,0
539874,675119,0
607486,706829,0
641770,710711,0
537085,852184,0
717308,804279,0
718598,655512,0
630612,770576,0
570225,842829,0
589675,755546,0
640027,738368,0
664707,722141,0
631597,893608,0
703403,758482,0
616325,730469,0
554610,782542,0
727303,809509,0
603709,757145,0
694477,801480,0
685646,736943,0
668098,713957,0
669410,742049,0
653304,756314,0
613863,789513,0
677034,731641,0
669700,802084,0
624314,773405,0
654682,759785,0
662784,741095,0
697927,742163,0
646571,694895,0
719445,660485,0
643600,764086,0
627929,765962,0
703793,765552,0
587326,773381,0
717722,750330,0
647744,743909,0
642381,763897,0
500568,750993,0
666495,722851,0
634389,786036,0
611266,772133,0
663575,790377,0
630028,754929,0
655401,774402,0
643303,726933,0
639757,719842,0
637825,742807,0
526898,832506,0
711253,662676,0
683817,848128,0
736472,832727,0
689529,744487,0
679608,646448,0
654618,842075,0
694212,664353,0
537054,718748,0
668460,783930,0
548995,826833,0
620659,771475,0
686313,814540,0
631794,761185,0
689468,762705,0
650041,802336,0
637600,807783,0
628658,701860,0
726306,751034,0
659605,834003,0
553865,748234,0
655600,773478,0
721022,679883,0
768482,675006,0
699489,745124,0
639748,753096,0
722543,622479,0
625692,817673,0
660975,682945,0
653157,760124,0
589024,670804,0
650663,750543,0
716474,589627,0
713578,835966,0
662130,816183,0
654155,754804,0
669277,746296,0
495463,836789,0
639613,739148,0
625394,753313,0
618863,725369,0
622394,754662,0
638262,768634,0
616672,764248,0
600013,718427,0
647588,778720,0
684742,730888,0
671740,797199,0
642232,671485,0
648671,698132,0
598298,828919,0
647432,747627,0
635713,731717,0
637917,739863,0
650666,740969,0
665967,760477,0
670430,687642,0
630859,729998,0
669736,723253,0
698843,757623,0
588593,712840,0
551701,762639,0
569859,678546,0
664835,852665,0
581169,743574,0
708960,619575,0
548571,694223,0
649816,741942,0
806622,755456,0
607251,769005,0
643929,740891,0
754810,695153,0
594100,724493,0
550920,733481,0
642541,745931,0
564713,691456,0
648355,754094,0
723355,811885,0
603804,809265,0
685487,777337,0
672669,712077,0
629137,731945,0
651239,704427,0
646667,750450,0
651903,741129,0
593997,772357,0
612222,835296,0
590255,719829,0
631051,775151,0
632805,792317,0
704768,782692,0
640737,802041,0
693011,676778,0
616879,758050,0
720180,797859,0
649007,841089,0
660715,673207,0
709776,723601,0
622698,732571,0
641146,727668,0
643696,798257,0
587179,775954,0
581674,711962,0
598055,705391,0
600201,747106,0
641296,746985,0
631845,770401,0
673297,793402,0
660784,738049,0
604620,781401,0
672211,763778,0
630190,753117,0
670390,749824,0
586317,595754,0
679422,711194,0
613699,762603,0
665574,745106,0
664700,693976,0
662471,737387,0
686671,838550,0
744621,770301,0
653496,830221,0
648715,742157,0
647272,761773,0
642831,780184,0
697183,717780,0
707457,670403,0
596963,702547,0
624454,802817,0
730517,636864,0
560433,682351,0
655697,771778,0
605001,774836,0
665496,765913,0
725075,738599,0
611251,681461,0
633447,754589,0
696039,654217,0
636336,744979,0
633530,724556,0
658676,746651,0
715864,783203,0
644662,743957,0
716034,701170,0
651015,742659,0
643018,718141,0
573889,768197,0
522000,666203,0
642735,739752,0
569972,719314,0
634677,757794,0
593386,739688,0
719701,728325,0
588862,722314,0
719311,712484,0
578882,670901,0
638470,736199,0
619656,753686,0
644685,766579,0
657320,664068,0
568141,657925,0
668617,731357,0
655535,761277,0
593137,706728,0
721988,760267,0
660076,731450,0
427372,690686,0
589711,767742,0
640776,740463,0
777756,778256,0
301956,680587,0
304189,697456,0
286274,728734,0
294684,775224,0
268973,695171,0
304677,705910,0
248748,637649,0
429508,769553,0
468149,505199,0
300152,713285,0
265902,671455,0
295510,697555,0
486190,609623,0
354977,804826,0
257975,592082,0
355952,585755,0
285430,654139,0
321294,664892,0
251150,666330,0
179239,656042,0
316043,704488,0
329823,706000,0
188186,654540,0
281269,731328,0
302147,686102,0
329756,715458,0
212262,700970,0
318137,649994,0
251500,776101,0
374442,633990,0
254640,651678,0
448573,628620,0
211387,657567,0
303680,693523,0
287690,730658,0
447311,785205,0
252568,814030,0
394536,730860,0
262168,671383,0
215687,902015,0
250951,817630,0
273063,678285,0
306763,698061,0
350971,596085,0
304914,695279,0
118511,648023,0
160133,681667,0
448402,746414,0
400326,624970,0
252952,676823,0
413463,567603,0
278479,630939,0
357644,695981,0
379090,753319,0
385257,638831,0
325664,713566,0
198182,677856,0
307097,671237,0
357196,852632,0
304864,695367,0
340313,638495,0
266876,665876,0
249076,589643,0
527817,730208,0
302392,702513,0
229377,613417,0
262537,513243,0
306856,679919,0
255893,641692,0
288661,700807,0
243986,766970,0
337154,818050,0
331738,776278,0
308989,689026,0
451071,614652,0
369162,695258,0
177049,597036,0
307397,731857,0
190542,567586,0
214385,603317,0
292488,660794,0
301304,694488,0
290450,647292,0
240273,687785,0
485824,759688,0
314447,613795,0
406046,576707,0
247378,759626,0
242243,710253,0
335078,619970,0
246400,663553,0
319819,678401,0
357208,755136,0
286658,715984,0
276224,720739,0
286891,681374,0
269693,862281,0
209140,705239,0
298335,753758,0
405752,494260,0
284855,658321,0
292422,606783,0
238952,742430,0
286754,806287,0
385034,613818,0
258007,845879,0
361385,582525,0
256095,673479,0
304011,514497,0
168313,558540,0
273517,847927,0
269578,687993,0
342344,657348,0
511555,663979,0
254044,618693,0
329516,777613,0
381316,720859,0
304874,695381,0
258057,724023,0
312238,495053,0
223059,671746,0
182857,737701,0
423758,695173,0
319037,717022,0
272612,637635,0
302593,696164,0
301289,697255,0
340176,691290,0
301423,696932,0
269774,786648,0
195108,681672,0
298935,670226,0
310043,795304,0
333533,635169,0
426326,733714,0
316583,691734,0
323812,738888,0
184474,672822,0
261698,699422,0
298959,742981,0
278130,681852,0
89604,711268,0
461411,808686,0
386150,700336,0
306813,508848,0
343270,788624,0
254266,563184,0
221257,683381,0
236193,657804,0
305311,547670,0
325404,749697,0
305675,695663,0
234323,590306,0
278285,766785,0
333181,827635,0
310860,682650,0
379268,814910,0
216187,733832,0
255081,562711,0
221833,769105,0
129640,884633,0
298929,666345,0
288914,733451,0
298288,662068,0
336208,747257,0
257260,644183,0
219122,686497,0
256223,566418,0
332173,749569,0
279044,697263,0
372608,716870,0
279062,689829,0
217166,843856,0
313338,727518,0
289905,820948,0
280555,680463,0
327824,620133,0
313999,801106,0
470379,544948,0
316065,796247,0
314665,670429,0
326880,737321,0
318119,673245,0
375031,597847,0
340444,724791,0
112396,741755,0
292787,695293,0
264135,635170,0
228355,583135,0
327427,657950,0
281909,694077,0
340641,618502,0
302992,783929,0
261605,622020,0
308884,703127,0
304500,588762,0
301556,642926,0
224858,807983,0
279515,617056,0
358851,708462,0
115401,744137,0
278267,692206,0
208702,671654,0
403432,795471,0
299778,680989,0
287574,546556,0
299755,675601,0
264783,728023,0
383654,611045,0
234506,764510,0
306197,670713,0
370443,654541,0
338403,771457,0
438616,601102,0
267318,679931,0
228642,788724,0
500824,652101,0
213842,692973,0
192836,648358,0
326129,821426,0
343932,724899,0
286532,513787,0
409264,781148,0
299657,693101,0
251849,548783,0
242142,692101,0
305206,702761,0
292531,656755,0
236864,671810,0
276544,768353,0
321631,632272,0
301620,716356,0
293539,671908,0
308117,740467,0
268889,886754,0
450198,671650,0
474639,808388,0
310168,735937,0
306114,579135,0
296474,688624,0
293176,687393,0
267935,658051,0
317528,569545,0
404854,628067,0
167462,739217,0
313436,638034,0
314521,830133,0
123131,598832,0
300174,705003,0
387423,745425,0
375555,736221,0
312647,700813,0
307671,666744,0
284404,780072,0
127621,744674,0
164798,675178,0
241192,694581,0
161562,624979,0
306397,692178,0
355914,617956,0
480340,753328,0
105551,615832,0
318130,662677,0
296294,706268,0
300777,698526,0
213659,538749,0
361449,666407,0
282983,762833,0
363500,627785,0
310342,697557,0
322064,661855,0
317266,689739,0
414173,576224,0
373783,522502,0
299009,683607,0
122269,693718,0
290251,628343,0
501954,511868,0
241183,860086,0
313365,650658,0
384155,681794,0
357075,730980,0
405179,696518,0
277759,782826,0
251175,650036,0
313862,698344,0
292696,637862,0
326876,674638,0
404700,650077,0
236495,689406,0
122456,724689,0
310319,685436,0
324020,701955,0
258854,848310,0
264032,631887,0
344920,597392,0
239150,710376,0
297247,741497,0
503089,701664,0
320910,689103,0
234103,840818,0
270236,621051,0
303997,782258,0
188413,672057,0
298739,713236,0
303546,699978,0
312521,676742,0
334515,668787,0
325827,672389,0
259852,674085,0
450020,615115,0
322860,537630,0
104165,624716,0
217344,694232,0
300574,649747,0
283304,696351,0
707602,445595,0
719346,449559,0
722639,443586,0
773331,389931,0
746157,439492,0
734039,417015,0
714751,446575,0
731816,415757,0
725946,426962,0
798814,401509,0
693737,452734,0
669866,448338,0
746864,439849,0
727143,433316,0
791514,403535,0
721995,437391,0
756228,419086,0
758640,405587,0
715675,422312,0
596353,470604,0
721507,453573,0
744313,432368,0
729257,451289,0
666032,465155,0
601801,494436,0
661222,453629,0
734450,429010,0
766737,396198,0
731222,429799,0
675857,463897,0
727705,434351,0
727034,420199,0
722277,425835,0
746923,435441,0
728171,409349,0
633701,452224,0
625717,482421,0
858806,387555,0
879462,370332,0
704254,417902,0
675281,454792,0
728609,419664,0
714079,445580,0
771609,417188,0
742704,423925,0
698642,431846,0
684258,463565,0
791992,389182,0
759373,432378,0
837198,402237,0
723729,435237,0
764655,420356,0
727532,423473,0
703907,419258,0
852401,400991,0
730415,423241,0
678951,451942,0
723339,437032,0
726016,416897,0
736837,416432,0
731165,429361,0
774647,427215,0
758669,423940,0
710631,454883,0
734701,423411,0
713931,418764,0
695455,432499,0
724532,436536,0
732725,438797,0
732286,420546,0
751345,431670,0
741371,429784,0
608037,468148,0
730382,448450,0
538607,494883,0
740633,415965,0
678799,450973,0
756673,440896,0
727534,429764,0
749579,410194,0
674276,430483,0
724635,414248,0
699875,435434,0
744271,431399,0
744426,435485,0
729196,418692,0
714355,422413,0
719636,426645,0
666567,454554,0
780310,430101,0
729233,430917,0
752754,440390,0
730094,429952,0
735913,420880,0
744772,424945,0
749916,420994,0
728098,444461,0
799944,418257,0
725809,427710,0
872658,384157,0
727190,430566,0
735511,413420,0
737941,430016,0
748631,407613,0
729082,423437,0
737547,432276,0
727500,428342,0
734065,416944,0
724160,426899,0
670557,464266,0
758317,407936,0
720366,421439,0
746825,435792,0
704175,432147,0
744121,432911,0
777554,396988,0
719327,426700,0
767236,415324,0
726918,433292,0
755320,433793,0
706267,436925,0
855800,386248,0
730682,429153,0
768541,421293,0
706846,447104,0
714304,433269,0
656849,479113,0
732560,416695,0
764135,419588,0
772097,400205,0
689286,450562,0
743847,438935,0
729710,432581,0
720578,440604,0
722499,433185,0
755038,441249,0
732306,423040,0
729408,428928,0
774783,405020,0
733697,419916,0
710943,446319,0
679310,465297,0
732703,428812,0
731991,431543,0
673257,459081,0
725839,424500,0
695054,456057,0
715314,436633,0
687301,458286,0
765294,425815,0
715118,427980,0
767333,420651,0
811403,407904,0
718164,454575,0
739070,411663,0
752581,440394,0
690730,437739,0
887870,380231,0
718401,449372,0
724731,435068,0
733774,432793,0
708631,453634,0
729480,431715,0
741825,405690,0
731191,432062,0
694821,438629,0
720271,425885,0
703652,430300,0
707380,419460,0
714873,418797,0
733691,405330,0
729715,427959,0
727368,452797,0
693426,451198,0
720452,420584,0
731599,428852,0
751517,404029,0
750392,411159,0
751559,416171,0
788276,416307,0
802381,381442,0
730792,434299,0
723743,443731,0
644981,443534,0
722187,439018,0
613011,486786,0
701733,458443,0
764630,436553,0
706095,419599,0
702394,446256,0
743252,440781,0
749317,422956,0
728905,435119,0
652525,464851,0
731460,429856,0
752589,400235,0
739990,419724,0
725971,448385,0
723840,443952,0
680544,442401,0
724483,439497,0
747987,431955,0
724609,423295,0
701304,459080,0
710349,419101,0
711439,453676,0
657496,436294,0
745255,425610,0
721524,424203,0
723797,428747,0
651594,453942,0
608668,457619,0
824293,381793,0
632652,468471,0
747303,406548,0
745060,417858,0
726685,414816,0
745842,434995,0
735718,438748,0
899552,374590,0
745158,417375,0
752346,417083,0
786732,399733,0
729589,425007,0
727316,427043,0
726331,435928,0
726804,445245,0
721682,435068,0
732378,429008,0
738551,420372,0
740906,409067,0
752706,440215,0
724608,430053,0
700354,441203,0
688222,447958,0
730326,429052,0
740287,446677,0
730434,421618,0
866065,386393,0
734429,447999,0
717523,425089,0
727809,442662,0
733733,431100,0
695936,430737,0
727499,426272,0
718009,426196,0
750873,437959,0
729994,429220,0
709712,441455,0
732848,425657,0
753057,423397,0
732683,447385,0
740753,442421,0
743293,432205,0
738254,421549,0
725268,431897,0
752830,435580,0
744755,433087,0
717724,450610,0
726128,420227,0
730135,440077,0
720869,438684,0
737328,412148,0
741031,434833,0
824039,412631,0
737966,412088,0
772015,409439,0
793237,397111,0
733788,448321,0
709282,436166,0
744664,426096,0
650775,452666,0
755167,409465,0
765633,405225,0
694683,450938,0
729711,430614,0
745044,407883,0
670181,441166,0
775130,415529,0
737414,444314,0
730608,432295,0
754376,441307,0
730203,412359,0
835516,400152,0
728664,432475,0
825989,382573,0
742650,431539,0
810322,411001,0
748409,441036,0
752527,434124,0
754792,438766,0
765181,401096,0
741044,438625,0
836049,367059,0
712348,448032,0
781662,408287,0
734372,426865,0
728383,430978,0
640253,444179,0
699386,444481,0
731442,420135,0
825123,400890,0
777591,429836,0
713951,422718,0
707581,458339,0
712891,443223,0
729363,427662,0
720657,419646,0
738674,432588,0
719396,435342,0
731257,446926,0
755055,439992,0
754485,438168,0
748375,408551,0
729426,426649,0
696542,425992,0
526879,525216,0
806588,410162,0
754502,431256,0
730935,428667,0
729609,430923,0
746498,408410,0
731119,444131,0
802912,397184,0
727608,439533,0
760617,407955,0
729897,434527,0
754387,641979,0
765672,517359,0
757899,557203,0
802071,528302,0
787465,589048,0
690720,635104,0
809697,523329,0
841221,597749,0
725486,606726,0
763865,466863,0
748007,681166,0
753268,512626,0
769511,572049,0
784165,583481,0
802983,575321,0
871144,555639,0
808049,557219,0
842659,586303,0
829000,613267,0
707169,574081,0
638540,688402,0
764937,568311,0
763685,566862,0
768294,559308,0
758869,579689,0
758814,521459,0
781691,592729,0
748984,487073,0
787310,654821,0
702714,742670,0
768709,572825,0
703372,576186,0
772389,565056,0
772148,571798,0
746759,573321,0
756285,616509,0
770099,572752,0
844515,509601,0
817531,537322,0
759684,546556,0
769720,563067,0
761599,619897,0
725823,615915,0
892697,526303,0
849949,540019,0
858747,573582,0
745209,536050,0
771219,572604,0
766135,599200,0
759715,564427,0
795068,560529,0
780723,675084,0
781190,576752,0
771901,572100,0
831389,480744,0
802115,533460,0
793828,440259,0
627700,686145,0
694220,605434,0
712797,557541,0
771847,579401,0
780097,514997,0
856326,535732,0
789339,582401,0
732523,581112,0
772782,618550,0
725592,592099,0
782723,495430,0
849093,568778,0
745223,598309,0
709466,636692,0
841036,437005,0
817600,535078,0
798637,458473,0
741778,574603,0
803290,647415,0
712221,587568,0
818663,590371,0
804156,564521,0
778573,679864,0
772224,555196,0
763953,571400,0
769986,570208,0
732245,547161,0
769877,577657,0
721616,560552,0
671639,598507,0
764188,590140,0
746964,488914,0
811883,486564,0
760115,557677,0
740307,488714,0
742779,571278,0
808094,571054,0
783481,538589,0
689711,722724,0
677369,627092,0
720791,540758,0
793831,593983,0
762051,495770,0
804628,577098,0
758634,560594,0
760164,506435,0
771231,564989,0
768119,567611,0
765005,660767,0
754194,560538,0
