% Parse By Nerea.P and Jdihadi.A 
%
@RELATION mysteriousx3

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2}

@DATA
453320,606542,0
520651,594591,0
516664,660290,0
570023,570741,0
524035,518443,0
544957,505968,0
503105,577815,0
515747,601704,0
588509,666153,0
533602,584471,0
488815,736618,0
555436,648459,0
525149,598859,0
527235,597804,0
532163,487880,0
456899,535857,0
458240,649408,0
449835,681607,0
536283,664397,0
490765,641584,0
454105,462204,0
452479,733351,0
530851,640929,0
537285,484173,0
517205,604160,0
523280,604275,0
587302,609986,0
474852,625772,0
524603,621588,0
541442,643798,0
533275,597808,0
561366,639125,0
542921,577831,0
535727,568446,0
505281,579015,0
507854,513056,0
519839,594718,0
543050,594144,0
502642,615006,0
457526,658653,0
454100,637822,0
478919,531404,0
525977,595552,0
530335,593501,0
485899,618292,0
520162,606713,0
579754,607506,0
448929,699090,0
519817,600528,0
590437,652317,0
565852,731472,0
530337,609544,0
591664,441477,0
518660,603100,0
543134,515387,0
549643,615815,0
536765,368279,0
490583,447151,0
462095,603185,0
521037,625633,0
517783,448891,0
504286,586215,0
449791,508708,0
505975,574621,0
565315,570709,0
505993,602027,0
481399,639977,0
528705,615540,0
496874,608333,0
509135,610403,0
551495,534129,0
511112,609032,0
540324,654879,0
518523,731755,0
592334,554231,0
458334,717159,0
563760,556793,0
498993,477685,0
461951,676819,0
542473,619633,0
577696,558890,0
528282,454400,0
505044,648336,0
502254,599976,0
540724,612400,0
527173,638401,0
457823,732911,0
556058,641043,0
504892,636062,0
519323,604971,0
552242,597762,0
519915,756868,0
510063,608495,0
465513,529132,0
548305,789860,0
583329,579176,0
556448,580076,0
533866,630754,0
515476,610111,0
523927,561491,0
537745,730727,0
496614,634895,0
532452,620413,0
536056,592316,0
593310,602181,0
496071,641507,0
534472,723007,0
560890,671380,0
587630,603523,0
465477,577209,0
515948,599567,0
568984,508467,0
503169,584319,0
474033,604815,0
547110,635152,0
468222,558458,0
517396,599675,0
530689,605173,0
559197,707148,0
481295,606981,0
500864,602869,0
530677,448636,0
478788,536546,0
575107,605490,0
556865,576259,0
502377,463742,0
560795,506703,0
498930,606521,0
437919,529813,0
478859,605506,0
481130,571932,0
469019,650175,0
550219,511903,0
548072,645976,0
478541,641601,0
487619,577759,0
458678,582469,0
512861,595314,0
530533,617715,0
517830,602128,0
477762,560260,0
582223,588889,0
483506,616626,0
491250,551419,0
517028,595332,0
518560,536665,0
473296,675462,0
552160,585490,0
507965,693786,0
573714,564928,0
494814,606104,0
482060,583648,0
531755,589697,0
450480,714996,0
480821,565116,0
480805,685935,0
481631,636177,0
545208,637065,0
593872,697763,0
516121,602007,0
494339,615498,0
482361,482641,0
497820,561443,0
490094,534384,0
550220,574397,0
556659,640497,0
517416,602429,0
496847,583462,0
585333,595857,0
592721,557481,0
517003,601763,0
547798,572399,0
561044,620960,0
511079,619668,0
536605,619651,0
531691,790138,0
512216,623166,0
524997,600241,0
585350,632346,0
582923,674777,0
561809,588448,0
511168,600267,0
592334,549213,0
578937,619828,0
486686,601992,0
577901,591721,0
501483,581157,0
457462,707351,0
494877,598042,0
484635,641845,0
538873,607201,0
437948,675857,0
504769,602742,0
553738,625842,0
541181,592835,0
460453,663248,0
517324,651171,0
552856,632819,0
586586,524767,0
517329,597341,0
500534,594406,0
512623,615916,0
517648,602787,0
515810,608979,0
519226,603757,0
565177,572012,0
508852,610907,0
492011,553423,0
513857,606505,0
519814,612122,0
512144,604265,0
513146,611088,0
506292,614969,0
555478,508284,0
532579,545085,0
520899,598617,0
519082,604451,0
435216,703332,0
499835,663371,0
540660,578421,0
547839,649983,0
485177,553455,0
547736,556647,0
480758,579260,0
528189,620014,0
557839,653593,0
591152,597702,0
535677,646666,0
598856,484319,0
498327,603896,0
554325,470556,0
517583,614670,0
599185,632598,0
446572,545016,0
444554,498933,0
447084,676215,0
462160,604958,0
507544,717283,0
515792,603615,0
508481,650682,0
528694,605396,0
585323,564746,0
517409,602486,0
526640,594029,0
442731,524364,0
444584,682681,0
476576,702356,0
504149,613547,0
522913,612522,0
477252,511717,0
541320,577397,0
460604,612713,0
594992,626543,0
582654,498670,0
486484,555434,0
505847,653823,0
526892,669378,0
565549,552212,0
507094,670237,0
528015,580450,0
504735,542865,0
507366,592328,0
583684,553423,0
459535,573533,0
452899,715648,0
489387,555203,0
466098,646429,0
483312,686975,0
600212,542358,0
510372,611826,0
519446,652215,0
571409,711766,0
539966,564654,0
434176,620870,0
540289,560590,0
470414,585508,0
594393,507547,0
557387,620417,0
568244,571007,0
574723,481052,0
544674,607976,0
504556,596936,0
525793,649834,0
553017,553882,0
514492,603118,0
536748,638795,0
499714,573684,0
500254,579149,0
495371,524303,0
495179,555424,0
493357,576660,0
488426,568942,0
578366,600188,0
519877,635541,0
506558,484898,0
526440,600980,0
476782,475969,0
510193,740093,0
505805,540908,0
551949,652317,0
569835,305861,0
487894,309894,0
532938,306366,0
534095,328194,0
480986,258160,0
546787,303532,0
471821,268222,0
548698,334366,0
449705,398827,0
596991,214371,0
504859,246634,0
492801,255666,0
443927,294656,0
500134,265648,0
607108,471788,0
533390,402288,0
594744,368036,0
591819,302411,0
564182,292950,0
532772,295614,0
549553,326391,0
529110,294532,0
499490,301809,0
676195,228277,0
501995,330279,0
505519,287497,0
490706,329784,0
527268,332373,0
495066,364706,0
608558,305176,0
533394,295829,0
532084,311638,0
447666,300851,0
531727,296001,0
486932,387999,0
559918,291073,0
526093,315223,0
529462,306183,0
539431,339933,0
586115,270570,0
561109,308739,0
539696,297239,0
548610,181604,0
447711,328043,0
525539,188788,0
649353,297146,0
