% Parse By Nerea.P and Jdihadi.A 
%
@RELATION mysteriouszz1

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2}

@DATA
151700,351102,0
155799,354358,0
142857,352716,0
152726,349144,0
151008,349692,0
145865,351895,0
148629,350242,0
151083,353684,0
161316,348971,0
158758,352360,0
145731,350480,0
159597,355339,0
152294,345996,0
149801,349982,0
152260,350394,0
149352,342567,0
149607,353888,0
154711,359310,0
154456,349715,0
154482,351351,0
152123,348751,0
146182,350827,0
152268,349032,0
155155,350195,0
151546,355246,0
153272,347661,0
152299,348418,0
149040,349665,0
150929,349676,0
147510,354280,0
152809,356672,0
146373,346559,0
146620,347645,0
147440,351382,0
140689,347871,0
154549,356725,0
151028,355250,0
147613,351520,0
154333,352207,0
144588,348394,0
149677,352370,0
149236,353471,0
151009,350546,0
150989,356166,0
147265,351837,0
149905,349644,0
149479,351115,0
151985,353649,0
153457,349093,0
153508,350082,0
147269,357194,0
150245,348533,0
146161,352594,0
146479,352222,0
149978,354997,0
154847,352140,0
147566,342000,0
151174,347435,0
149287,351539,0
153533,351164,0
146556,355830,0
150103,354435,0
151747,351738,0
153480,350609,0
154883,345616,0
150272,355889,0
145283,349950,0
147653,344901,0
146643,351028,0
157433,351067,0
148053,348011,0
152366,351788,0
149392,347713,0
152810,346040,0
147581,344238,0
145566,348412,0
145502,347577,0
151544,351539,0
149439,345216,0
149380,349283,0
154488,345713,0
150922,355786,0
150626,349695,0
155021,354360,0
147456,351303,0
152203,353079,0
152641,346632,0
149229,353880,0
150682,354638,0
146313,343097,0
146370,349082,0
150332,347981,0
152284,350721,0
158176,348142,0
147891,350667,0
150592,351938,0
149739,350744,0
143887,349016,0
148612,345804,0
144325,349614,0
152658,348627,0
147192,345695,0
150317,349855,0
148278,349168,0
150960,350700,0
148102,352932,0
151549,351968,0
152338,354342,0
155413,348247,0
149386,347218,0
143238,349025,0
147345,354087,0
154284,354530,0
146610,349265,0
153039,348426,0
150392,345255,0
154543,352568,0
143799,349452,0
149375,346232,0
146180,348565,0
159196,345163,0
152610,351614,0
154361,349889,0
146654,354798,0
148518,345574,0
149138,352967,0
153474,350799,0
149121,350172,0
152218,352477,0
143512,353106,0
148881,346518,0
147396,353889,0
145013,345694,0
151606,346781,0
150892,347973,0
150106,352328,0
145783,346212,0
153565,351410,0
151107,351407,0
149054,350390,0
150072,351752,0
149171,346227,0
144465,352617,0
149097,350267,0
147371,352034,0
146903,346596,0
146343,349798,0
148313,352593,0
143667,352558,0
153049,350040,0
151645,344332,0
149937,346543,0
149890,350677,0
147476,352247,0
153221,351779,0
149579,348030,0
147740,356836,0
154273,350655,0
149289,352652,0
148137,348506,0
149071,346399,0
147319,351888,0
146458,352911,0
157988,356532,0
155235,348859,0
150973,344975,0
146025,354691,0
147263,350557,0
149442,346398,0
152503,348491,0
145788,347034,0
142632,352916,0
145418,351405,0
151055,350869,0
151238,350880,0
151428,347558,0
149588,353084,0
150581,351148,0
148494,349028,0
152726,349691,0
145694,349249,0
151439,347353,0
147316,352064,0
148941,354275,0
151748,357959,0
153286,351914,0
146466,347059,0
153987,351031,0
152088,347040,0
149785,348049,0
149383,347865,0
149312,347309,0
149041,351094,0
150073,346498,0
150162,352116,0
152612,352764,0
154829,353747,0
151477,350083,0
149337,351881,0
